Subject,Department,Session,Start,Finish,Venue,,,
Aerospace Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 4227 Sheaf Building,,,
Aerospace Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,,,
Aerospace Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,,,
Animation course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 2502 Harmer Building,,,
Animation facilities tour,Media Arts & Comms,Tour,12:00,12:30,Room 2502 Harmer Building,,,
Animation networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,STEM Atrium,,,
Animation taster session,Media Arts & Comms,Taster Session,11:30,12:00,Room 2502 Harmer Building,,,
Automotive Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3107 Eric Mensforth Building,,,
Automotive Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,,,
Automotive Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,,,
Business and Information Technology course talk,Computing,Subject Talk,11:00,12:00,Room 9135 Cantor Building,,, 
Business and Information Technology facilities tour,Computing,Tour,12:00,13:00,Room 9135 Cantor Building,,,
Business and Information Technology networking session and refreshments,Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,,,
Chemical Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3113 Eric Mensforth Building,,,
Chemical Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,,,
Chemical Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,,,
"Computer Forensics, Security and Networks",Computing,Subject Talk,11:00,12:00,Room 9006 Cantor Building,,,
"Computer Forensics, Security and Networks facilities tour",Computing,Tour,12:00,13:00,Start in 9307 Cantor Building,,,
"Computer Forensics, Security and Networks networking session and refreshments",Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,,,
Computer Science for Games course talk,Computing,Subject Talk,11:00,12:00,Room 9005 Cantor Building,,,
Computer Science for Games facilities tour,Computing,Tour,12:00,13:00,Start in 9336 Cantor Building,,,
