id,Subject,Department,Session,Start,Finish,Venue,pub,created,edited
,Aerospace Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 4227 Sheaf Building,1,15/01/2021 10:23,15/01/2021 10:23
,Aerospace Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Aerospace Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Animation course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 2502 Harmer Building,1,15/01/2021 10:23,15/01/2021 10:23
,Animation facilities tour,Media Arts & Comms,Tour,12:00,12:30,Room 2502 Harmer Building,1,15/01/2021 10:23,15/01/2021 10:23
,Animation networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Animation taster session,Media Arts & Comms,Taster Session,11:30,12:00,Room 2502 Harmer Building,1,15/01/2021 10:23,15/01/2021 10:23
,Automotive Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3107 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Automotive Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Automotive Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Business and Information Technology course talk,Computing,Subject Talk,11:00,12:00,Room 9135 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Business and Information Technology facilities tour,Computing,Tour,12:00,13:00,Room 9135 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Business and Information Technology networking session and refreshments,Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Chemical Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3113 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Chemical Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Chemical Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,"Computer Forensics, Security and Networks",Computing,Subject Talk,11:00,12:00,Room 9006 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,"Computer Forensics, Security and Networks facilities tour",Computing,Tour,12:00,13:00,Start in 9307 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,"Computer Forensics, Security and Networks networking session and refreshments",Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Computer Science for Games course talk,Computing,Subject Talk,11:00,12:00,Room 9005 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Computer Science for Games facilities tour,Computing,Tour,12:00,13:00,Start in 9336 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Computer Science for Games networking session and refreshments,Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Computer Systems Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3119 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Computer Systems Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Computer Systems Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Computing course talk,Computing,Subject Talk,11:00,12:00,Room 9003 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Computing facilities tour,Computing,Tour,12:00,13:00,Start in 9341 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Computing networking session and refreshments,Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Digital Media Production course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 5520 Surrey Building,1,15/01/2021 10:23,15/01/2021 10:23
,Digital Media Production facilities tour,Media Arts & Comms,Tour,12:00,12:30,Start from Room 5520 Surrey Building,1,15/01/2021 10:23,15/01/2021 10:23
